	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	5	5
1	avere il tavolo	5	5	5
2	cambiare la scrivania	5	5	5
3	comprare la scrivania	5	5	5
4	avere la sedia	5	5	5
5	dare la sedia	4	5	4
6	cambiare la sedia	5	5	5
7	cambiare il tavolo	5	5	5
8	dare il divano	4	5	4
9	comprare il divano	5	5	5
10	avere la scrivania	5	5	5
11	comprare l'armadio	5	5	5
12	dare la scrivania	4	5	4
13	dare l'armadio	4	5	4
14	cambiare l'armadio	5	5	5
15	comprare la sedia	5	5	5
16	avere il divano	5	5	5
17	dare il tavolo	4	5	4
18	cambiare il divano	5	5	5
19	avere l'armadio	5	5	5
