	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	4	5	5
1	avere il tavolo	5	3	3
2	cambiare la scrivania	3	3	3
3	comprare la scrivania	5	5	5
4	avere la sedia	5	5	3
5	dare la sedia	2	4	4
6	cambiare la sedia	3	3	3
7	cambiare il tavolo	3	3	3
8	dare il divano	3	3	3
9	comprare il divano	5	5	5
10	avere la scrivania	5	5	4
11	comprare l'armadio	5	5	5
12	dare la scrivania	2	3	3
13	dare l'armadio	2	3	3
14	cambiare l'armadio	2	3	3
15	comprare la sedia	5	5	5
16	avere il divano	5	5	3
17	dare il tavolo	2	4	5
18	cambiare il divano	3	4	5
19	avere l'armadio	5	4	4
