	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	4	2	5
1	valutare il premio	4	3	5
2	ristrutturare il sistema	3	2	5
3	edificare l'appartamento	3	5	5
4	demolire l'appartamento	3	5	5
5	sostenere il programma	3	4	5
6	edificare la biblioteca	3	5	5
7	istituire il corso	3	5	5
8	istituire la proposta	3	5	5
9	demolire l'economia	3	1	5
10	valutare il programma	3	4	5
11	valutare il progetto	4	4	5
12	sospendere il progetto	4	4	5
13	sostenere il servizio	4	4	5
14	valutare il corso	4	4	5
15	valutare la proposta	5	4	5
16	sospendere il sistema	5	3	5
17	istituire il premio	5	4	5
18	edificare il sistema	5	2	5
19	sospendere il programma	4	2	5
20	sostenere il sistema	4	2	5
21	edificare il museo	4	4	5
22	edificare l'economia	3	2	5
23	istituire l'economia	3	1	5
24	sostenere la proposta	4	3	5
25	sospendere la proposta	4	3	5
26	demolire il sistema	4	2	5
27	valutare l'economia	3	2	5
28	demolire la biblioteca	3	2	5
29	ristrutturare il museo	4	4	5
30	istituire il programma	4	1	5
31	sostenere l'economia	4	1	5
32	demolire il museo	4	4	5
33	ristrutturare la biblioteca	4	4	5
34	sospendere il corso	3	4	5
35	istituire il progetto	4	3	5
36	sospendere l'economia	4	1	5
