	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	5	5
1	avere il tavolo	5	2	5
2	cambiare la scrivania	5	3	5
3	comprare la scrivania	5	5	5
4	avere la sedia	5	2	5
5	dare la sedia	5	5	5
6	cambiare la sedia	5	3	5
7	cambiare il tavolo	5	3	5
8	dare il divano	5	5	5
9	comprare il divano	5	5	5
10	avere la scrivania	5	2	5
11	comprare l'armadio	5	5	5
12	dare la scrivania	5	5	5
13	dare l'armadio	5	5	5
14	cambiare l'armadio	5	3	5
15	comprare la sedia	5	5	5
16	avere il divano	5	2	5
17	dare il tavolo	5	5	5
18	cambiare il divano	5	3	5
19	avere l'armadio	5	2	5
