	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	3	5	3
1	portare l'abito	4	5	4
2	avere la gomma	5	5	5
3	portare il libro	5	5	5
4	annullare l'intervento	5	5	4
5	preparare il concerto	5	5	5
6	dare il righello	5	5	5
7	confezionare il cibo	5	5	5
8	preparare la mostra	5	4	5
9	annullare il corso	5	4	5
10	portare il pacchtto	5	5	5
11	pagare il concerto	5	4	5
12	portare il fiore	3	5	5
13	portare il piatto	5	5	5
14	confezionare il piatto	3	4	2
15	confezionare la verdura	5	5	5
16	dare la matita	5	5	5
17	annullare il servizio	5	3	5
18	portare la verdura	5	5	5
19	avere la penna	5	5	5
20	prenotare la mostra	5	4	5
21	annullare la spedizione	5	4	5
22	avere la matita	5	5	5
23	portare la camicia	5	5	5
24	confezionare il fiore	4	5	3
25	prenotare il servizio	5	3	5
26	cambiare la penna	5	5	5
27	prenotare l'iscrizione	5	4	5
28	prenotare la spedizione	5	4	5
29	avere il righello	5	5	5
30	prenotare l'incontro	5	4	5
31	dare la gomma	5	5	5
32	annullare l'incontro	5	4	5
33	prenotare l'intervento	5	5	5
34	portare il legno	4	5	4
35	prenotare il concerto	5	4	5
36	annullare l'appuntamento	5	4	5
37	confezionare il libro	5	5	5
38	annullare l'iscrizione	5	4	5
39	annullare la mostra	5	4	5
40	confezionare il carne	5	5	5
41	portare il carne	4	5	4
42	organizzare il concerto	5	5	5
43	prenotare l'appuntamento	5	4	5
44	portare il cibo	5	5	5
45	pagare la mostra	5	5	5
46	annullare il concerto	5	4	5
47	organizzare la mostra	5	5	5
48	cambiare la matita	5	5	5
49	dare la penna	5	5	5
50	prenotare il corso	5	4	5
